analysis_type,SITE_ID,Start_Date,End_Date,Num_Years,acf_SO2_Lag,fft_SO2_Period,acf_SO4_Lag,fft_SO4_Period,acf_HNO3_Lag,fft_HNO3_Period,acf_NO3_Lag,fft_NO3_Period,acf_TNO3_Lag,fft_TNO3_Period,acf_NH4_Lag,fft_NH4_Period,acf_CA_Lag,fft_CA_Period,acf_K_Lag,fft_K_Period,acf_MG_Lag,fft_MG_Period,acf_Sodium_Lag,fft_Sodium_Period
same3len,GRC474,2000-01-04,2003-01-04,3.0,25,53.33,NA,NA,8,53.33,94,53.33,11.0,53.33,11,53.33,87,53.33,37,53.33,59,53.33,30,53.33
same3len,GRS420,2008-07-15,2011-07-15,3.0,42,53.33,29,53.33,20,80,33,53.33,47.0,53.33,29,53.33,5,53.33,55,53.33,37,53.33,78,53.33
same3len,GRS420,2000-01-04,2003-01-04,3.0,20,53.33,46,53.33,20,53.33,39,53.33,20.0,53.33,22,53.33,15,6.96,8,53.33,8,53.33,8,26.67
seg,GTH161,2004-06-22,2013-05-21,8.91,89,120,73,53.33,8,53.33,28,53.33,28.0,53.33,123,53.33,76,53.33,NA,NA,NA,NA,NA,NA
seg,GTH161,2013-05-28,2020-11-10,7.46,4,200,4,50.0,57,50,105,50,57.0,50.0,199,50.0,43,50,NA,NA,NA,NA,64,50
same5len,GTH161,2004-06-22,2009-06-22,5.0,85,135,28,54,19,54,28,54,28.0,54.0,51,54.0,5,54,NA,NA,NA,NA,NA,NA
same5len,GTH161,2013-05-28,2018-05-28,5.0,4,38.57,4,54,17,54,105,54,130.0,54.0,4,54.0,46,54,NA,NA,NA,NA,64,54
same3len,GTH161,2020-12-01,2023-12-01,3.0,14,160,5,53.33,48,53.33,22,53.33,22.0,53.33,5,53.33,56,53.33,5,53.33,56,53.33,63,53.33
same3len,GTH161,2000-01-04,2003-01-04,3.0,22,17.78,6,53.33,21,53.33,15,53.33,25.0,53.33,58,53.33,19,53.33,9,53.33,NA,NA,51,53.33
same3len,GTH161,2004-06-22,2007-06-22,3.0,26,160,43,53.33,19,53.33,40,53.33,11.0,53.33,11,53.33,19,53.33,NA,NA,NA,NA,40,53.33
same3len,GTH161,2016-05-28,2019-05-28,3.0,27,26.67,4,53.33,19,53.33,60,53.33,4.0,53.33,4,53.33,60,53.33,46,53.33,72,53.33,4,53.33
same3len,GTH161,2013-05-28,2016-05-28,3.0,4,40,48,53.33,17,53.33,100,53.33,59.0,53.33,46,53.33,59,53.33,NA,NA,NA,NA,38,53.33
same3len,GTH161,2007-06-22,2010-06-22,3.0,14,26.67,79,53.33,16,53.33,5,53.33,28.0,53.33,5,53.33,5,53.33,53,53.33,NA,NA,5,53.33
same3len,HOW132,2003-11-18,2006-11-18,3.0,34,53.33,34,53.33,20,5.71,NA,NA,11.0,53.33,34,53.33,17,53.33,62,53.33,32,53.33,32,53.33
same3len,HOW132,2000-01-04,2003-01-04,3.0,17,53.33,22,53.33,12,26.67,81,53.33,17.0,53.33,22,53.33,70,53.33,55,53.33,17,53.33,68,53.33
seg,HOX148,2009-04-14,2024-07-09,15.24,5,53.33,136,25.81,197,53.33,152,53.33,5.0,53.33,136,53.33,178,53.33,NA,NA,40,53.33,NA,NA
seg,HOX148,2000-10-31,2005-11-08,5.02,11,54,111,54.0,68,54,5,54,49.0,54.0,111,5.29,57,54,NA,NA,57,54,124,54
same5len,HOX148,2000-10-31,2005-10-31,5.0,11,54,111,54,68,54,5,54,49.0,54.0,111,5.29,57,54,NA,NA,57,54,124,54
same5len,HOX148,2019-04-14,2024-04-14,5.0,37,54,9,4.29,12,54,52,54,9.0,54.0,9,54.0,50,54,15,54,65,54,91,54
same5len,HOX148,2009-04-14,2014-04-14,5.0,5,54,11,5.87,5,54,35,54,16.0,54.0,11,54.0,35,54,13,54,29,54,NA,NA
same5len,HOX148,2014-04-14,2019-04-14,5.0,9,54,149,12.27,120,54,56,54,75.0,54.0,17,54.0,30,54,52,54,30,54,51,54
same3len,HOX148,2021-04-14,2024-04-14,3.0,5,13.33,79,9.41,43,53.33,7,53.33,106.0,53.33,79,26.67,25,26.67,7,53.33,25,53.33,94,53.33
same3len,HOX148,2012-04-14,2015-04-14,3.0,51,53.33,11,26.67,56,53.33,19,53.33,51.0,53.33,51,53.33,11,53.33,61,53.33,49,53.33,49,53.33
same3len,HOX148,2018-04-14,2021-04-14,3.0,9,53.33,9,53.33,22,53.33,26,53.33,12.0,53.33,51,53.33,37,53.33,33,53.33,11,53.33,65,53.33
same3len,HOX148,2015-04-14,2018-04-14,3.0,9,53.33,58,13.33,58,4.44,95,53.33,75.0,53.33,39,53.33,101,26.67,104,53.33,8,53.33,51,53.33
same3len,HOX148,2000-10-31,2003-10-31,3.0,57,53.33,111,53.33,68,53.33,5,53.33,64.0,53.33,64,5.52,14,53.33,NA,NA,14,53.33,99,53.33
same3len,HOX148,2009-04-14,2012-04-14,3.0,27,53.33,19,5.93,30,53.33,21,53.33,40.0,53.33,19,26.67,48,53.33,33,53.33,48,53.33,NA,NA
seg,HWF187,2002-05-28,2014-10-21,12.4,57,54,53,25.92,66,54,NA,NA,192.0,54.0,53,25.92,89,54,207,54,NA,NA,NA,NA
seg,HWF187,2014-11-04,2022-05-03,7.49,9,50,12,26.67,164,50,NA,NA,44.0,50.0,12,26.67,56,50,59,50,NA,NA,250,50
same5len,HWF187,2007-05-28,2012-05-28,5.0,57,54,95,54,95,54,NA,NA,4.0,54.0,21,27.0,89,54,57,54,NA,NA,NA,NA
same5len,HWF187,2014-11-04,2019-11-04,5.0,71,54,44,27,44,54,NA,NA,44.0,54.0,44,27.0,125,54,32,54,NA,NA,NA,NA
same5len,HWF187,2002-05-28,2007-05-28,5.0,17,54,23,54,5,54,NA,NA,18.0,54.0,23,54.0,18,54,23,54,NA,NA,56,54
same3len,HWF187,2002-05-28,2005-05-28,3.0,59,53.33,46,53.33,5,53.33,NA,NA,5.0,53.33,46,53.33,5,53.33,66,53.33,21,53.33,56,53.33
same3len,HWF187,2005-05-28,2008-05-28,3.0,33,53.33,23,53.33,42,53.33,NA,NA,42.0,53.33,23,53.33,47,53.33,21,53.33,NA,NA,57,53.33
same3len,HWF187,2008-05-28,2011-05-28,3.0,57,53.33,22,26.67,14,53.33,NA,NA,14.0,53.33,4,26.67,107,53.33,57,53.33,NA,NA,NA,NA
same3len,HWF187,2011-05-28,2014-05-28,3.0,57,53.33,17,53.33,66,53.33,NA,NA,10.0,53.33,53,26.67,78,53.33,47,53.33,NA,NA,28,53.33
same3len,HWF187,2014-11-04,2017-11-04,3.0,62,53.33,44,13.33,5,53.33,NA,NA,12.0,53.33,12,13.33,56,53.33,34,53.33,NA,NA,50,53.33
same3len,HWF187,2017-11-04,2020-11-04,3.0,11,53.33,54,26.67,44,53.33,NA,NA,44.0,53.33,54,26.67,31,53.33,13,53.33,NA,NA,NA,NA
seg,IRL141,2008-03-11,2016-10-04,8.57,57,50,52,50.0,37,56.25,251,50,29.0,50.0,52,50.0,7,17.31,29,50,29,50,29,50
same5len,IRL141,2008-03-11,2013-03-11,5.0,182,135,7,27,69,54,23,54,29.0,54.0,100,54.0,102,16.88,31,7.71,29,27,55,27
same3len,IRL141,2019-09-03,2022-09-03,3.0,6,53.33,15,26.67,18,53.33,12,53.33,12.0,53.33,64,4.57,55,53.33,7,53.33,87,53.33,87,53.33
same3len,IRL141,2011-03-11,2014-03-11,3.0,14,53.33,26,53.33,49,53.33,29,53.33,29.0,53.33,26,53.33,52,17.78,29,53.33,29,53.33,29,53.33
same3len,IRL141,2001-07-03,2004-07-03,3.0,8,160,11,26.67,19,53.33,11,53.33,81.0,53.33,41,6.67,26,53.33,28,53.33,7,26.67,7,26.67
same3len,IRL141,2008-03-11,2011-03-11,3.0,87,53.33,61,26.67,69,53.33,27,53.33,102.0,53.33,16,7.62,7,53.33,31,7.62,29,26.67,29,26.67
seg,JOT403,2000-08-22,2011-05-10,10.71,211,52.36,49,52.36,8,52.36,11,52.36,49.0,52.36,11,52.36,153,52.36,116,52.36,58,52.36,118,52.36
seg,JOT403,2013-09-10,2018-12-18,5.27,62,48,11,57.6,14,57.6,11,57.6,11.0,57.6,11,57.6,15,57.6,108,57.6,87,57.6,87,48
same5len,JOT403,2013-09-10,2018-09-10,5.0,11,54,11,54,152,54,11,54,11.0,54.0,11,54.0,62,54,108,54,98,54,98,54
same5len,JOT403,2005-08-22,2010-08-22,5.0,19,54,104,54,54,54,23,54,28.0,54.0,159,54.0,81,54,28,54,19,54,65,54
same5len,JOT403,2000-08-22,2005-08-22,5.0,31,54,98,54,8,54,11,54,49.0,54.0,11,54.0,49,54,49,54,49,54,118,54
same3len,JOT403,2013-09-10,2016-09-10,3.0,30,53.33,23,53.33,6,53.33,11,53.33,70.0,53.33,8,53.33,15,53.33,30,53.33,25,53.33,22,53.33
same3len,JOT403,2003-08-22,2006-08-22,3.0,60,53.33,49,53.33,49,53.33,16,53.33,49.0,53.33,11,53.33,49,53.33,42,53.33,5,53.33,5,53.33
same3len,JOT403,2006-08-22,2009-08-22,3.0,19,53.33,19,53.33,60,53.33,23,53.33,6.0,53.33,19,53.33,28,53.33,4,53.33,51,53.33,70,53.33
same3len,JOT403,2019-10-15,2022-10-15,3.0,31,53.33,25,53.33,60,53.33,43,53.33,55.0,53.33,6,53.33,54,53.33,48,53.33,54,53.33,11,53.33
same3len,JOT403,2000-08-22,2003-08-22,3.0,40,53.33,40,53.33,25,53.33,98,8.89,13.0,53.33,11,53.33,101,53.33,104,53.33,13,53.33,13,53.33
seg,KEF112,2013-10-15,2024-01-09,10.23,104,54,81,25.71,178,54,104,54,52.0,54.0,81,25.71,104,54,104,54,18,54,84,54
seg,KEF112,2007-12-25,2013-10-01,5.77,7,53.33,25,53.33,33,53.33,31,53.33,31.0,53.33,25,26.67,65,26.67,29,53.33,29,53.33,6,53.33
same5len,KEF112,2018-10-15,2023-10-15,5.0,73,54,30,27,129,54,56,54,9.0,54.0,30,27.0,40,27,52,54,31,27,48,54
same5len,KEF112,2007-12-25,2012-12-25,5.0,5,54,25,54,33,54,NA,NA,25.0,54.0,25,27.0,60,54,29,54,54,54,6,54
same5len,KEF112,2013-10-15,2018-10-15,5.0,48,54,12,54,5,54,15,54,12.0,54.0,12,27.0,104,27,44,54,18,54,11,54
same3len,KEF112,2000-11-07,2003-11-07,3.0,50,53.33,15,53.33,75,53.33,NA,NA,39.0,53.33,39,53.33,61,160,NA,NA,NA,NA,100,53.33
same3len,KEF112,2016-10-15,2019-10-15,3.0,56,53.33,12,26.67,9,53.33,40,53.33,7.0,53.33,12,26.67,7,53.33,12,53.33,7,53.33,52,53.33
same3len,KEF112,2013-10-15,2016-10-15,3.0,53,53.33,12,53.33,5,53.33,8,53.33,12.0,53.33,12,26.67,63,26.67,44,53.33,18,26.67,11,53.33
same3len,KEF112,2019-10-15,2022-10-15,3.0,73,53.33,34,26.67,73,17.78,4,53.33,9.0,53.33,21,26.67,31,26.67,73,53.33,31,26.67,48,53.33
same3len,KEF112,2007-12-25,2010-12-25,3.0,22,53.33,4,53.33,33,53.33,NA,NA,31.0,53.33,25,26.67,17,53.33,29,26.67,17,53.33,6,53.33
seg,KNZ184,2002-03-26,2011-10-18,9.56,17,26.32,92,50.0,209,50,143,50,63.0,50.0,34,50.0,17,50,11,50,17,50,11,50
seg,KNZ184,2012-02-28,2021-02-23,8.99,119,53.33,37,53.33,108,53.33,210,53.33,9.0,53.33,55,53.33,116,53.33,52,53.33,64,53.33,46,26.67
same5len,KNZ184,2012-02-28,2017-02-28,5.0,112,54,37,54,59,54,29,54,33.0,54.0,52,54.0,81,54,153,54,21,54,51,27
same5len,KNZ184,2002-03-26,2007-03-26,5.0,49,27,11,54,6,54,35,54,7.0,54.0,136,54.0,35,54,82,54,76,54,91,54
same3len,KNZ184,2005-03-26,2008-03-26,3.0,71,53.33,36,53.33,76,53.33,24,53.33,24.0,53.33,12,26.67,82,53.33,29,53.33,19,53.33,11,8.89
same3len,KNZ184,2015-02-28,2018-02-28,3.0,24,53.33,20,53.33,8,53.33,84,53.33,84.0,53.33,43,53.33,17,17.78,4,53.33,32,53.33,46,26.67
same3len,KNZ184,2012-02-28,2015-02-28,3.0,33,53.33,37,53.33,40,53.33,29,53.33,29.0,53.33,17,53.33,49,53.33,33,53.33,21,53.33,63,53.33
same3len,KNZ184,2002-03-26,2005-03-26,3.0,49,26.67,4,53.33,6,53.33,7,53.33,49.0,53.33,27,53.33,49,53.33,32,53.33,80,53.33,15,53.33
same3len,KNZ184,2021-03-02,2024-03-02,3.0,54,53.33,72,53.33,40,53.33,15,53.33,21.0,53.33,38,53.33,8,53.33,31,53.33,21,53.33,29,53.33
same3len,KNZ184,2008-03-26,2011-03-26,3.0,17,53.33,9,13.33,22,53.33,17,53.33,46.0,53.33,74,53.33,17,53.33,11,53.33,11,53.33,11,26.67
seg,LAV410,2005-09-27,2012-12-18,7.23,54,54.86,54,54.86,51,54.86,33,54.86,33.0,54.86,23,54.86,8,54.86,66,54.86,NA,NA,143,54.86
same5len,LAV410,2005-09-27,2010-09-27,5.0,54,54,54,54,46,54,33,54,33.0,54.0,54,54.0,10,54,66,54,NA,NA,6,54
same3len,LAV410,2005-09-27,2008-09-27,3.0,54,53.33,10,53.33,NA,NA,33,53.33,33.0,53.33,28,53.33,26,53.33,28,53.33,46,53.33,6,53.33
same3len,LAV410,2008-09-27,2011-09-27,3.0,36,53.33,NA,NA,7,53.33,23,53.33,23.0,53.33,NA,NA,23,53.33,51,53.33,13,53.33,60,53.33
same3len,LAV410,2012-12-25,2015-12-25,3.0,4,53.33,34,53.33,61,53.33,47,53.33,55.0,53.33,81,53.33,63,53.33,82,53.33,20,53.33,42,53.33
seg,LRL117,2000-01-04,2007-09-25,7.72,94,50.62,39,50.62,52,50.62,NA,NA,159.0,50.62,113,50.62,27,50.62,44,50.62,NA,NA,NA,NA
seg,LRL117,2016-11-01,2024-07-09,7.69,56,50.62,4,50.62,59,50.62,4,50.62,56.0,50.62,4,25.31,135,25.31,213,50.62,135,50.62,33,50.62
seg,LRL117,2007-10-09,2013-10-29,6.06,39,53.33,104,53.33,52,53.33,NA,NA,52.0,53.33,85,26.67,65,26.67,29,53.33,65,53.33,NA,NA
same5len,LRL117,2007-10-09,2012-10-09,5.0,35,54,25,54,52,54,NA,NA,52.0,54.0,85,54.0,65,27,29,54,65,54,42,54
same5len,LRL117,2016-11-01,2021-11-01,5.0,56,54,9,27,49,54,NA,NA,101.0,54.0,30,27.0,28,54,9,54,33,54,33,54
same5len,LRL117,2000-01-04,2005-01-04,5.0,42,54,80,54,122,54,NA,NA,55.0,54.0,90,54.0,27,54,NA,NA,37,54,18,54
same3len,LRL117,2016-11-01,2019-11-01,3.0,4,53.33,9,26.67,40,53.33,NA,NA,14.0,53.33,51,26.67,66,17.78,35,53.33,7,53.33,22,53.33
same3len,LRL117,2010-10-09,2013-10-09,3.0,39,53.33,44,53.33,14,53.33,NA,NA,52.0,53.33,44,26.67,84,26.67,6,53.33,8,26.67,NA,NA
same3len,LRL117,2003-01-04,2006-01-04,3.0,50,53.33,11,53.33,21,53.33,NA,NA,21.0,53.33,66,53.33,42,53.33,18,53.33,27,53.33,NA,NA
same3len,LRL117,2019-11-01,2022-11-01,3.0,40,53.33,7,26.67,35,53.33,4,53.33,9.0,53.33,7,26.67,25,26.67,9,53.33,52,26.67,8,53.33
same3len,LRL117,2000-01-04,2003-01-04,3.0,46,53.33,15,53.33,52,53.33,NA,NA,61.0,53.33,15,53.33,8,53.33,6,53.33,37,53.33,18,53.33
same3len,LRL117,2007-10-09,2010-10-09,3.0,7,53.33,31,53.33,52,53.33,NA,NA,18.0,53.33,83,53.33,17,26.67,38,53.33,17,53.33,11,53.33
same3len,LYK123,2001-07-24,2004-07-24,3.0,4,53.33,4,53.33,4,53.33,41,53.33,67.0,53.33,46,26.67,15,53.33,30,53.33,37,53.33,44,53.33
same3len,LYK123,2005-04-05,2008-04-05,3.0,18,53.33,48,53.33,74,53.33,6,53.33,50.0,53.33,11,26.67,7,53.33,47,53.33,15,53.33,4,53.33
seg,MAC426,2003-06-10,2016-06-14,13.01,171,51.43,149,51.43,111,51.43,107,51.43,99.0,51.43,149,25.71,120,25.71,NA,NA,221,51.43,6,51.43
same5len,MAC426,2008-06-10,2013-06-10,5.0,47,54,42,54,29,54,58,54,52.0,54.0,119,27.0,76,54,9,54,39,54,33,54
same5len,MAC426,2003-06-10,2008-06-10,5.0,53,54,14,54,38,54,8,54,62.0,54.0,103,54.0,11,27,NA,NA,20,54,73,54
same3len,MAC426,2003-06-10,2006-06-10,3.0,48,53.33,21,53.33,49,53.33,43,53.33,28.0,53.33,17,53.33,6,26.67,NA,NA,20,26.67,11,53.33
same3len,MAC426,2012-06-10,2015-06-10,3.0,9,53.33,6,53.33,48,53.33,21,53.33,48.0,53.33,16,26.67,88,13.33,21,53.33,16,53.33,33,53.33
same3len,MAC426,2009-06-10,2012-06-10,3.0,47,53.33,42,53.33,59,53.33,52,53.33,52.0,53.33,14,26.67,52,53.33,7,53.33,52,53.33,45,53.33
same3len,MAC426,2019-01-15,2022-01-15,3.0,65,53.33,28,26.67,9,53.33,10,53.33,10.0,53.33,46,53.33,57,26.67,22,53.33,33,53.33,43,8.42
same3len,MAC426,2006-06-10,2009-06-10,3.0,29,53.33,17,53.33,53,53.33,8,53.33,80.0,53.33,11,53.33,24,53.33,78,53.33,8,53.33,19,53.33
seg,MCK131,2010-08-10,2019-06-04,8.82,37,53.33,209,53.33,150,53.33,7,53.33,61.0,53.33,209,25.26,73,26.67,159,53.33,51,53.33,39,53.33
seg,MCK131,2019-06-18,2024-07-09,5.06,41,54,50,54.0,9,54,4,54,83.0,54.0,50,27.0,23,27,96,54,10,54,79,54
same5len,MCK131,2010-08-10,2015-08-10,5.0,99,54,54,54,99,54,73,54,66.0,54.0,36,27.0,117,27,18,54,10,27,33,54
same5len,MCK131,2019-06-18,2024-06-18,5.0,41,54,50,54,9,54,4,54,83.0,54.0,50,27.0,23,27,96,54,10,54,43,54
same3len,MCK131,2019-06-18,2022-06-18,3.0,84,53.33,28,26.67,9,13.33,4,53.33,35.0,53.33,56,26.67,5,26.67,8,53.33,10,53.33,27,8.42
same3len,MCK131,2010-08-10,2013-08-10,3.0,19,53.33,42,53.33,55,5,73,53.33,14.0,53.33,16,26.67,30,26.67,12,53.33,61,26.67,33,53.33
same3len,MCK131,2004-09-28,2007-09-28,3.0,6,53.33,37,53.33,48,53.33,40,53.33,31.0,53.33,37,53.33,5,26.67,47,53.33,91,53.33,98,53.33
same3len,MCK131,2013-08-10,2016-08-10,3.0,18,53.33,102,53.33,48,53.33,21,53.33,18.0,53.33,33,26.67,5,26.67,18,53.33,13,53.33,26,53.33
seg,MCK231,2009-02-03,2019-10-15,10.69,11,52.36,209,52.36,48,52.36,7,52.36,18.0,52.36,209,26.18,7,26.18,NA,NA,178,52.36,39,52.36
seg,MCK231,2000-10-03,2009-01-27,8.32,9,50,46,50.0,102,26.47,118,50,87.0,50.0,50,50.0,64,26.47,167,50,103,26.47,77,50
same5len,MCK231,2009-02-03,2014-02-03,5.0,49,54,6,54,25,54,7,54,85.0,54.0,85,27.0,7,27,159,54,10,54,33,54
same5len,MCK231,2000-10-03,2005-10-03,5.0,27,54,4,54,119,27,36,54,42.0,54.0,4,54.0,37,30,6,54,103,54,77,54
same5len,MCK231,2014-02-03,2019-02-03,5.0,70,54,47,54,18,54,18,54,18.0,54.0,51,24.55,70,27,105,54,7,54,44,54
same3len,MCK231,2009-02-03,2012-02-03,3.0,19,53.33,29,53.33,5,40,46,53.33,76.0,53.33,29,26.67,52,22.86,NA,NA,55,53.33,54,53.33
same3len,MCK231,2015-02-03,2018-02-03,3.0,22,53.33,34,53.33,15,6.96,7,53.33,79.0,53.33,22,26.67,38,17.78,97,53.33,17,17.78,44,53.33
same3len,MCK231,2000-10-03,2003-10-03,3.0,4,53.33,18,53.33,11,9.41,36,53.33,42.0,53.33,23,53.33,37,26.67,8,53.33,37,26.67,16,53.33
same3len,MCK231,2012-02-03,2015-02-03,3.0,27,53.33,6,53.33,48,6.4,7,53.33,7.0,53.33,18,26.67,42,160,42,53.33,39,53.33,6,53.33
same3len,MCK231,2003-10-03,2006-10-03,3.0,9,53.33,4,53.33,10,26.67,8,53.33,24.0,53.33,4,53.33,11,26.67,71,53.33,11,53.33,73,53.33
seg,MEV405,2004-05-18,2010-11-09,6.48,11,51.43,21,51.43,17,51.43,37,51.43,105.0,51.43,21,51.43,71,51.43,45,51.43,130,51.43,130,51.43
seg,MEV405,2010-11-16,2016-04-19,5.42,101,48,28,57.6,39,26.18,100,57.6,55.0,26.18,94,57.6,25,48,103,48,103,48,32,57.6
same5len,MEV405,2010-11-16,2015-11-16,5.0,18,54,28,54,39,54,10,54,55.0,54.0,94,54.0,80,54,51,54,62,54,32,54
same5len,MEV405,2004-05-18,2009-05-18,5.0,11,54,21,54,153,54,34,54,105.0,54.0,80,54.0,31,54,5,54,5,54,102,54
same3len,MEV405,2007-05-18,2010-05-18,3.0,42,53.33,125,53.33,17,53.33,37,53.33,59.0,53.33,8,53.33,91,53.33,63,53.33,91,53.33,5,53.33
same3len,MEV405,2010-11-16,2013-11-16,3.0,51,26.67,4,53.33,106,26.67,10,53.33,106.0,26.67,19,53.33,62,53.33,28,53.33,37,53.33,15,53.33
same3len,MEV405,2019-04-09,2022-04-09,3.0,47,53.33,39,53.33,52,53.33,11,53.33,69.0,53.33,30,53.33,35,53.33,24,53.33,35,53.33,81,53.33
same3len,MEV405,2004-05-18,2007-05-18,3.0,28,53.33,21,53.33,66,53.33,37,53.33,9.0,53.33,6,53.33,14,53.33,5,53.33,5,53.33,26,53.33
seg,MKG113,2000-01-04,2021-11-30,21.91,5,52.36,107,52.36,213,52.36,156,52.36,107.0,52.36,107,26.18,218,52.36,52,52.36,NA,NA,102,52.36
same5len,MKG113,2015-01-04,2020-01-04,5.0,22,54,81,27,35,54,101,54,12.0,54.0,81,54.0,33,54,6,54,56,54,46,54
same5len,MKG113,2005-01-04,2010-01-04,5.0,109,54,66,54,28,14.21,67,54,109.0,54.0,66,27.0,17,54,47,54,94,54,102,54
same5len,MKG113,2000-01-04,2005-01-04,5.0,5,54,42,54,99,54,131,54,36.0,54.0,167,54.0,90,54,77,54,90,54,41,54
same5len,MKG113,2010-01-04,2015-01-04,5.0,44,54,133,27,44,54,8,54,44.0,54.0,25,27.0,54,27,31,54,31,27,105,54
same3len,MKG113,2015-01-04,2018-01-04,3.0,13,53.33,12,26.67,83,53.33,53,53.33,104.0,53.33,26,53.33,56,53.33,25,53.33,56,6.96,46,53.33
same3len,MKG113,2006-01-04,2009-01-04,3.0,15,53.33,15,53.33,43,160,32,53.33,34.0,53.33,75,26.67,17,53.33,58,53.33,17,53.33,13,53.33
same3len,MKG113,2009-01-04,2012-01-04,3.0,52,53.33,52,53.33,27,53.33,31,53.33,31.0,53.33,25,26.67,17,26.67,19,53.33,17,53.33,48,53.33
same3len,MKG113,2012-01-04,2015-01-04,3.0,44,53.33,19,26.67,44,53.33,8,53.33,19.0,53.33,19,26.67,32,26.67,6,53.33,49,53.33,6,53.33
same3len,MKG113,2003-01-04,2006-01-04,3.0,21,53.33,18,53.33,21,53.33,17,53.33,18.0,53.33,18,53.33,76,26.67,49,53.33,23,53.33,7,53.33
same3len,MKG113,2018-01-04,2021-01-04,3.0,5,53.33,7,26.67,59,53.33,42,53.33,7.0,53.33,51,53.33,31,53.33,12,53.33,45,53.33,33,53.33
same3len,MKG113,2000-01-04,2003-01-04,3.0,7,53.33,20,53.33,7,53.33,43,53.33,36.0,53.33,51,26.67,69,53.33,69,53.33,87,53.33,41,53.33
same3len,MOR409,2004-04-06,2007-04-06,3.0,6,53.33,6,53.33,6,53.33,27,53.33,6.0,53.33,85,53.33,6,53.33,39,53.33,27,53.33,27,53.33
same3len,MOR409,2008-11-11,2011-11-11,3.0,16,53.33,48,53.33,NA,NA,4,53.33,68.0,53.33,43,53.33,45,53.33,13,53.33,26,53.33,19,53.33
same3len,MOR409,2000-01-04,2003-01-04,3.0,40,53.33,53,53.33,NA,NA,26,53.33,55.0,53.33,40,53.33,24,53.33,40,53.33,NA,NA,42,53.33
same3len,NCS415,2000-01-04,2003-01-04,3.0,34,53.33,4,53.33,12,53.33,100,53.33,25.0,53.33,4,53.33,37,53.33,69,53.33,NA,NA,15,53.33
same3len,NIC001,2019-05-14,2022-05-14,3.0,24,53.33,29,4.32,12,53.33,39,53.33,9.0,53.33,12,53.33,61,53.33,46,53.33,48,53.33,39,53.33
same3len,NPT006,2020-08-11,2023-08-11,3.0,32,53.33,55,53.33,20,53.33,5,26.67,13.0,53.33,5,53.33,6,53.33,60,53.33,56,53.33,85,26.67
seg,OLY421,2000-01-04,2005-02-01,5.08,43,54,82,54.0,22,54,21,54,155.0,12.86,58,12.86,59,54,63,54,136,54,136,54
same5len,OLY421,2000-01-04,2005-01-04,5.0,43,54,6,54,22,54,21,54,155.0,12.86,58,12.86,59,54,63,54,70,54,136,54
same3len,OLY421,2000-01-04,2003-01-04,3.0,36,53.33,9,53.33,22,53.33,21,26.67,36.0,160,35,160,59,53.33,61,53.33,26,53.33,26,53.33
seg,OXF122,2000-01-04,2011-02-01,11.08,248,54.55,37,50.0,102,50,145,50,204.0,50.0,11,26.09,105,26.09,NA,NA,59,54.55,4,50
seg,OXF122,2011-02-08,2021-08-24,10.54,42,52.36,9,52.36,59,52.36,NA,NA,153.0,52.36,93,26.18,28,52.36,209,52.36,209,52.36,153,52.36
same5len,OXF122,2016-02-08,2021-02-08,5.0,42,54,42,4.22,110,54,NA,NA,148.0,54.0,14,54.0,28,54,52,54,28,54,43,54
same5len,OXF122,2005-01-04,2010-01-04,5.0,91,54,37,54,19,54,92,54,43.0,54.0,11,24.55,59,54,11,54,59,54,19,54
same5len,OXF122,2011-02-08,2016-02-08,5.0,91,54,51,54,109,54,104,54,97.0,54.0,113,27.0,60,54,30,54,60,54,33,54
same5len,OXF122,2000-01-04,2005-01-04,5.0,75,54,95,54,71,54,69,54,159.0,54.0,78,27.0,61,22.5,NA,NA,61,54,87,54
same3len,OXF122,2000-01-04,2003-01-04,3.0,24,53.33,35,53.33,60,53.33,69,53.33,49.0,53.33,78,26.67,45,53.33,28,53.33,61,53.33,12,53.33
same3len,OXF122,2006-01-04,2009-01-04,3.0,15,53.33,75,53.33,6,53.33,31,53.33,41.0,53.33,11,26.67,35,53.33,30,53.33,32,53.33,19,53.33
same3len,OXF122,2017-02-08,2020-02-08,3.0,42,53.33,9,4.21,54,53.33,46,53.33,5.0,53.33,25,53.33,28,53.33,52,53.33,28,53.33,8,53.33
same3len,OXF122,2011-02-08,2014-02-08,3.0,62,53.33,38,53.33,64,53.33,61,53.33,103.0,53.33,38,26.67,49,53.33,39,53.33,60,53.33,6,53.33
same3len,OXF122,2014-02-08,2017-02-08,3.0,47,53.33,72,26.67,18,53.33,54,53.33,22.0,53.33,47,53.33,15,26.67,9,53.33,34,53.33,26,53.33
same3len,OXF122,2003-01-04,2006-01-04,3.0,5,53.33,26,53.33,7,53.33,50,53.33,34.0,53.33,26,26.67,34,26.67,NA,NA,16,53.33,11,53.33
seg,PAL190,2007-04-24,2015-11-24,8.59,55,50,4,50.0,139,50,64,50,54.0,26.47,4,13.24,143,150,5,50,22,50,22,50
seg,PAL190,2016-05-17,2021-10-26,5.44,37,48,13,48.0,4,57.6,56,48,43.0,26.18,112,26.18,39,72,11,57.6,39,57.6,33,57.6
same5len,PAL190,2016-05-17,2021-05-17,5.0,37,54,13,54,4,54,56,54,43.0,27.0,112,27.0,39,67.5,11,67.5,39,54,11,54
